,difference,normalized difference,std,-log(p),electrode A,electrode B,drowsiness,seperation,chunk,atom,participant
115500,0.0023012220039138327,-0.0733695714683113,0.0003791732955654054,0.1883330801119986,32,48,awake,close range,post2,sts,1
115501,-0.06015936672651717,1.9180535163589647,0.012883182976338831,1.7864598184764304,32,48,awake,close range,post2,sts,2
115502,0.010231297948929342,-0.32620318456926506,0.0004292032457016644,1.4485556887793907,32,48,awake,close range,post2,sts,3
115503,0.00015502552964022362,-0.004942659446592486,0.00047996435212059786,0.011121141569467379,32,48,awake,close range,post2,sts,4
115504,-0.0005341939553602758,0.017031638633337703,0.0003474531922676512,0.04859534176619407,32,48,awake,close range,post2,sts,5
115505,0.0011887408892181722,-0.03790047612983904,0.0005854353098733207,0.08362038566305623,32,48,awake,close range,post2,sts,6
115506,-0.029292429010162144,0.9339268267408762,0.016225550051783794,0.7969492986036051,32,48,awake,close range,post2,sts,7
115507,-0.004965114754851903,0.15830212871027025,0.0002985094609859983,0.6986511105332135,32,48,awake,close range,post2,sts,8
115508,0.001130461634847528,-0.03604236599905004,0.0009469795751458359,0.055852129496421786,32,48,awake,close range,post2,sts,9
115509,0.0023017867426474922,-0.0733875769622661,0.000610179306249339,0.12767098103591254,32,48,awake,close range,post2,sts,10
115510,0.0006926939893714469,-0.022085075265411487,0.0006755424707572008,0.029978921366219387,32,48,awake,close range,post2,sts,11
115511,0.0101475606813889,-0.3235333998092895,0.0023047838079665746,0.4226415196559687,32,48,awake,close range,post2,sts,12
115512,0.014855062386062871,-0.4736220840695878,0.0008382879897282422,1.4892910676924511,32,48,awake,close range,post2,sts,13
115513,-0.007729689737395622,0.4984731001686471,0.0005654410567576743,0.5396355449215491,75,89,awake,neighbours,post2,sts,1
115514,-0.06492812626529489,4.187092300875155,0.016710766338867783,1.504104823078152,75,89,awake,neighbours,post2,sts,2
115515,-0.006816672731591828,0.4395943569264824,0.0006093436298799354,0.5031020040507378,75,89,awake,neighbours,post2,sts,3
115516,-0.005269843997477611,0.33984229174415465,0.0006070708548482304,0.4647086636059109,75,89,awake,neighbours,post2,sts,4
115517,-0.007205255560267111,0.4646533300370038,0.000493980743697698,0.7019595947959051,75,89,awake,neighbours,post2,sts,5
115518,-0.009209316290125048,0.5938914235280774,0.0008008712255046389,0.6840917357715934,75,89,awake,neighbours,post2,sts,6
115519,0.02349131501701084,-1.5149105619229015,0.012608432783963137,0.6040668963263174,75,89,awake,neighbours,post2,sts,7
115520,-0.011938056270909964,0.7698627139662222,0.00052798595354793,1.0881655652010065,75,89,awake,neighbours,post2,sts,8
115521,-0.00705187989242204,0.4547624227381905,0.0009205134758711287,0.4020494882496866,75,89,awake,neighbours,post2,sts,9
115522,-0.010271384773362115,0.6623822151919831,0.0006125757995730532,1.0273447396442383,75,89,awake,neighbours,post2,sts,10
115523,-0.003377738190776412,0.21782395991506528,0.0006486009525240048,0.1737762941978341,75,89,awake,neighbours,post2,sts,11
115524,0.021497990166837427,-1.3863648050470343,0.0032020680418630588,0.7475854750026737,75,89,awake,neighbours,post2,sts,12
115525,-0.0008129974497061189,0.052428670871951064,0.000548459459009171,0.04932403685613819,75,89,awake,neighbours,post2,sts,13
115526,0.008018622397873655,-0.4908898171242667,0.0004438408330650251,0.8102895216294161,70,57,awake,neighbours,post2,sts,1
115527,-0.04262674843518585,2.6095550713922284,0.011041306698562445,0.895635266021585,70,57,awake,neighbours,post2,sts,2
115528,0.012654976570319372,-0.7747214952986542,0.0005347450822044631,1.38017919223784,70,57,awake,neighbours,post2,sts,3
115529,-0.0027719094195104085,0.16969275275879336,0.0006276488858778024,0.18903459781870688,70,57,awake,neighbours,post2,sts,4
115530,-0.0052608276209847385,0.32206114475128583,0.0006007041495729831,0.3600141347207435,70,57,awake,neighbours,post2,sts,5
115531,-0.004415694375365643,0.2703231673528728,0.0006728245821258939,0.2799704744309943,70,57,awake,neighbours,post2,sts,6
115532,-0.00021566402366650608,0.01320267595665911,0.023107779863733302,0.002593843237384835,70,57,awake,neighbours,post2,sts,7
115533,-0.011489403625063043,0.703366608941417,0.0005315229356366302,1.0180559531102784,70,57,awake,neighbours,post2,sts,8
115534,-0.012141111689187913,0.7432633438845039,0.0012667533979507175,0.6307144043142979,70,57,awake,neighbours,post2,sts,9
115535,-0.011213259265584656,0.6864614041072061,0.001054642380443507,0.4766626316373288,70,57,awake,neighbours,post2,sts,10
115536,0.00854811046591953,-0.5233044000782472,0.0006029776780079322,0.6132053184697915,70,57,awake,neighbours,post2,sts,11
115537,0.017752225133498778,-1.0867685391499258,0.0020642587133425975,1.0197606020021217,70,57,awake,neighbours,post2,sts,12
115538,0.012505318814348142,-0.7655596387084964,0.0006313198915155918,1.3238760822598414,70,57,awake,neighbours,post2,sts,13
115539,0.0008753506048482934,0.06967861474364125,0.0004362521650904892,0.057882425485000714,89,18,awake,close range,post2,sts,1
115540,0.006797840790330575,0.5411136142416264,0.010367290078330751,0.11319666672404248,89,18,awake,close range,post2,sts,2
115541,-0.00796695664620559,-0.6341761800992416,0.0006505450805106744,0.5548071105452649,89,18,awake,close range,post2,sts,3
115542,-0.004470546210302625,-0.3558590870401102,0.0006842828108762096,0.3218856706619277,89,18,awake,close range,post2,sts,4
115543,0.005789598584724937,0.4608567208053674,0.0004847618136078507,0.497815529377074,89,18,awake,close range,post2,sts,5
115544,-0.011713295663650621,-0.932387789995672,0.0009601339158114123,0.6889610359373934,89,18,awake,close range,post2,sts,6
115545,0.08770504653719922,6.981392501348363,0.015499434334207444,1.9968490839754371,89,18,awake,close range,post2,sts,7
115546,0.0005685489684318057,0.04525695682945258,0.0003956392069137567,0.040190793520478926,89,18,awake,close range,post2,sts,8
115547,0.0014290204750186733,0.1137511833408262,0.0009178773314133695,0.07521180334267917,89,18,awake,close range,post2,sts,9
115548,-0.009467546966367688,-0.753624380885866,0.0007732876915345643,0.7199096414899083,89,18,awake,close range,post2,sts,10
115549,-0.009196384288363474,-0.7320396128296605,0.0006675418280837443,0.6094909090805359,89,18,awake,close range,post2,sts,11
115550,-0.025414839144796128,-2.0230417112109853,0.0029594359633178576,1.0021137533196354,89,18,awake,close range,post2,sts,12
115551,0.0018611027486934962,0.14814528110941386,0.0007214081174475983,0.11118912320311,89,18,awake,close range,post2,sts,13
115552,-0.0033039541856851344,-0.2547255457516338,0.0005911002807997513,0.1793610200531226,80,63,awake,neighbours,post2,sts,1
115553,-0.05101767718845693,-3.933318967047213,0.004150601576980907,1.1207753342142073,80,63,awake,neighbours,post2,sts,2
115554,-0.026348815935864797,-2.0314193666038105,0.0007501710932222761,2.8826253532353467,80,63,awake,neighbours,post2,sts,3
115555,-0.013404970334513192,-1.0334853912434798,0.0006505719317854974,1.2556198940898395,80,63,awake,neighbours,post2,sts,4
115556,-0.015139326210788331,-1.1671993358937522,0.0006125371575339027,1.386720148531768,80,63,awake,neighbours,post2,sts,5
115557,-0.0012080621673319044,-0.09313818460582217,0.0007962692874640353,0.05537014583628008,80,63,awake,neighbours,post2,sts,6
115558,0.05945559264260465,4.5838584413463135,0.020465237770805687,1.4148886822394482,80,63,awake,neighbours,post2,sts,7
115559,-0.0016694739559940939,-0.12871173165815247,0.0004182346735891774,0.12071856483399787,80,63,awake,neighbours,post2,sts,8
115560,0.008559211398028795,0.6598910493410413,0.0009194537989912848,0.5103702109907133,80,63,awake,neighbours,post2,sts,9
115561,-0.002486873881097973,-0.1917309596249148,0.0010470326484902104,0.08213797462848763,80,63,awake,neighbours,post2,sts,10
115562,-0.015530565844565594,-1.1973628077921727,0.0006119945516177695,1.3773208878423326,80,63,awake,neighbours,post2,sts,11
115563,-0.016485831622806108,-1.2710111040531926,0.002627184229113377,0.659049242301885,80,63,awake,neighbours,post2,sts,12
115564,0.014204498839413987,1.0951267831360278,0.0009717367020181199,1.0492163116273616,80,63,awake,neighbours,post2,sts,13
115565,-0.00039727551834399175,0.013789441629729995,0.0003737663170683077,0.030623211087811263,66,81,awake,close range,post2,sts,1
115566,-0.00741068547716929,0.2572250493805421,0.014287752022328291,0.1012967151402367,66,81,awake,close range,post2,sts,2
115567,0.002504414372673552,-0.0869282757532927,0.00047910659426273936,0.18302845696513406,66,81,awake,close range,post2,sts,3
115568,-0.0016510919679403047,0.05730943706809261,0.0005191909920966533,0.13084018768477826,66,81,awake,close range,post2,sts,4
115569,-0.002585270697952609,0.08973480051091598,0.00044643372698682256,0.179901759307057,66,81,awake,close range,post2,sts,5
115570,0.002068142172510827,-0.07178525847426495,0.0005081889204708307,0.17417683336238965,66,81,awake,close range,post2,sts,6
115571,-0.01810693697604751,0.6284921647455024,0.016375750534292962,0.3846912788730284,66,81,awake,close range,post2,sts,7
115572,0.003603442521244147,-0.12507556599487787,0.00033336625385650367,0.3948849086196555,66,81,awake,close range,post2,sts,8
115573,0.00792502678932528,-0.2750778471851945,0.0006264803321212992,0.7282508193323812,66,81,awake,close range,post2,sts,9
115574,-0.015321399549654403,0.5318061018620179,0.0008396976353828324,0.7816295303414499,66,81,awake,close range,post2,sts,10
115575,-0.005022994418075657,0.1743482423060852,0.0004931710230988476,0.4045552652104073,66,81,awake,close range,post2,sts,11
115576,0.007162203575286115,-0.24860023731977104,0.0019593435150158235,0.3289736051988614,66,81,awake,close range,post2,sts,12
115577,0.009612072746776884,-0.3336352479883509,0.0006917271447361908,0.7090803380032275,66,81,awake,close range,post2,sts,13
115578,-0.0010093741171583075,-0.03533946371493935,0.0005073544320951059,0.0571729080202419,57,69,awake,neighbours,post2,sts,1
115579,-0.012733233467532476,-0.4458065988125002,0.005491886755034921,0.3141117840272379,57,69,awake,neighbours,post2,sts,2
115580,0.0020283711992223133,0.0710158395948869,0.0007474128562651262,0.08965961133294506,57,69,awake,neighbours,post2,sts,3
