,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
21,"[[  -1.52614971  -86.66566493   96.40494106 -379.86920116    9.48029297
   -10.14886366   42.56296873 -112.15361291   -1.52614971  -86.66566494
    10.68011156 -481.82910201  362.92896018  353.47844941  136.11468374
   -16.28245402]]",0.5406330196749358,PhiID prediction,pre1,awake
22,"[[  -4.05550536  -65.41690529  308.06233573 -152.73334726 -250.53017978
   -11.13951171   31.40082112   44.20499973   -4.05550536  -65.4169053
    12.03416044 -338.40428261  127.05273771  231.49222618  -20.03312456
   -23.13156876]]",0.542343883661249,PhiID prediction,pre1,awake
23,"[[  -6.82299206  -86.86634821  195.72980581 -685.87510925 -142.8790529
    -8.54343216    7.93680314  -91.75259082   -6.82299206  -86.86634821
     9.97568223 -528.01685653  644.84561552  416.30430893  114.07690403
   -27.19649868]]",0.5295124037639007,PhiID prediction,pre1,awake
24,"[[  -4.95115216  -85.8213895   396.94826061 -448.4964692  -342.14917259
   -19.42802547   15.57152275  -95.96292268   -4.95115216  -85.8213895
    19.97437012 -313.16622288  437.36541962  316.65977221    0.86578446
   -15.19579743]]",0.5389221556886228,PhiID prediction,pre1,awake
25,"[[-3.98190157e-01 -5.32993060e+00  3.08165536e+02 -1.79338787e+02
  -3.32253811e+02 -2.13991883e+01  5.75719092e+01 -1.88263127e+02
  -3.98190161e-01 -5.32993060e+00  2.25137137e+01 -3.24570256e+02
   1.66382510e+02  4.55458503e+02 -2.90591170e+01 -1.27426895e+01]]",0.5406330196749358,PhiID prediction,pre1,awake
26,"[[  -4.05437112  -65.10376474  149.88483457 -738.82502086 -141.04003971
   -15.75422301   -5.54007618 -261.38710797   -4.05437111  -65.10376474
    16.03966518 -394.56674477  727.78472696  364.60830393  210.68140886
   -21.18868331]]",0.5372112917023096,PhiID prediction,pre1,awake
27,"[[  -2.1489031   -34.42952668  361.00034113 -319.52405655 -386.73992812
   -23.93640124   28.47193043 -156.77970886   -2.1489031   -34.42952668
    25.35734618 -360.60072819  298.29242528  429.63606735  -17.52404636
   -17.52287019]]",0.5389221556886228,PhiID prediction,pre1,awake
28,"[[  -4.41276003  -34.40103056   -4.13123436 -194.03651822  -23.7146797
   -25.55691222   21.84161      27.13047663   -4.41276003  -34.40103056
    26.27945765 -201.4161391   180.97926536  222.43188186 -130.46853579
   -12.09547755]]",0.5508982035928144,PhiID prediction,pre1,awake
29,"[[  -5.5318032   -57.65882953  103.98196692 -448.25646745  -76.94971555
   -18.63673389   38.94835353 -232.76984396   -5.5318032   -57.65882953
    19.54946968 -460.08020053  436.79014828  348.31333523  253.73002986
   -17.3420252 ]]",0.544054747647562,PhiID prediction,pre1,awake
30,"[[  -3.90024293  -43.10710014  -58.05212578 -429.59292168   75.3821046
   -23.79282788   41.19678264 -193.92022965   -3.90024293  -43.10710014
    25.35083333 -151.67216721  392.11005617  235.50916127   23.15793962
   -20.00155238]]",0.5449101796407185,PhiID prediction,pre1,awake
31,"[[  -3.29576305  -83.60100771  152.24993849 -452.35021982  -89.97341922
   -10.55468354   11.6942407  -168.66792635   -3.29576305  -83.60100771
    12.51172478 -311.7431274   415.30305155  296.79630295   82.77608056
   -28.54390109]]",0.525235243798118,PhiID prediction,pre1,awake
32,"[[  -1.68876394  -68.47890348  182.98867271 -378.28396592 -147.18491385
   -12.99068201   31.42389465 -337.47883395   -1.68876394  -68.47890348
    13.30394411 -465.41535234  384.36378949  357.57823078  326.10123508
   -10.43691159]]",0.5149700598802395,PhiID prediction,pre1,awake
33,"[[  -4.14679604  -80.6615488  -115.1231766  -686.74918162  163.37345223
   -19.72917185   11.37950643 -379.59412147   -4.14679604  -80.6615488
    20.3921348  -304.64195269  659.78994682  341.17713626  247.1718466
   -16.59918035]]",0.5577416595380668,PhiID prediction,pre1,awake
34,"[[  -2.15573733 -105.87448623  131.0816922  -251.4485947    13.17038769
   -23.61028403   33.46995073 -203.92193645   -2.15573734 -105.87448623
    24.21349725 -618.02875997  235.74989359  433.65254081  299.64392035
   -19.54897912]]",0.5431993156544055,PhiID prediction,pre1,awake
35,"[[  -4.20015436  -88.47177039    3.10046744 -236.48871303   86.24068703
   -23.49570531   26.33293194   86.11518333   -4.20015436  -88.47177039
    24.50093162 -151.94316942  213.45375267   39.45267136  -65.60573908
   -16.93811487]]",0.5517536355859709,PhiID prediction,pre1,awake
36,"[[  -0.97744193 -119.2433839   356.11594964  -97.25219584 -172.6234957
   -22.25006581   45.84526811    8.44270761   -0.97744193 -119.2433839
    22.89985459 -554.70113317   87.71764051  375.22438069   75.37768916
   -15.6346293 ]]",0.5355004277159966,PhiID prediction,pre1,awake
37,"[[-4.11311789e-01 -6.28709944e+01  5.94261182e+01 -4.38587409e+02
   5.27646442e+01 -1.48276813e+01  7.79412005e+01 -2.83159268e+02
  -4.11311790e-01 -6.28709944e+01  1.63212495e+01 -4.19531939e+02
   4.12517431e+02  3.54204821e+02  2.59922617e+02 -1.83367264e+01]]",0.5209580838323353,PhiID prediction,pre1,awake
38,"[[  -4.71278655  -35.88537662   90.43602169 -395.63977694 -130.39487642
   -17.59435778   19.07275162 -204.74108442   -4.71278655  -35.88537662
    18.59784718 -356.55326402  359.38262143  484.12838943  -37.97311858
   -25.61276084]]",0.5457656116338752,PhiID prediction,pre1,awake
39,"[[  -3.57424164  -51.51498238   88.98670751 -410.50017686  -56.15124468
   -21.48627931   48.94126187 -210.86057943   -3.57424164  -51.51498238
    22.63978011 -385.63729115  389.76114995  400.25124024  101.85340254
   -17.07943715]]",0.5312232677502139,PhiID prediction,pre1,awake
40,"[[  -4.45399164  -76.25203743  243.37215039  -37.22168092 -195.82396504
   -25.8479854    25.42849091  -45.16613619   -4.45399164  -76.25203743
    26.9040612  -205.99964107    5.90312568  289.2901663  -145.86838025
   -21.96839243]]",0.5226689478186484,PhiID prediction,pre1,awake
41,"[[  -5.49857111  -63.45806665   -2.51442476 -625.75008012   40.61423214
   -15.39750473   22.5949075  -176.15572044   -5.49857111  -63.45806664
    16.57977991 -482.05022832  606.84211597  205.38633659  378.51674238
   -23.41385003]]",0.5380667236954663,PhiID prediction,pre1,awake
42,"[[  -1.57061304  -63.78317897  153.53544637 -333.70213521  -84.10923679
   -23.95469838   37.560001   -168.86112469   -1.57061304  -63.78317897
    25.16653755 -251.84118437  309.60705625  282.62577471   47.29994658
   -22.69457039]]",0.5397775876817793,PhiID prediction,pre1,awake
43,"[[  -5.16751118 -108.96743982  398.24013294 -212.530098   -303.89596785
   -23.02819426    1.38081467 -164.77838465   -5.16751118 -108.96743982
    22.97774618 -830.64857486  199.40415905  614.24896667  296.40508384
   -14.32680322]]",0.5414884516680923,PhiID prediction,pre1,awake
44,"[[  -2.68810335  -85.33553131   69.56759683 -612.99041394   27.17260825
   -22.23467935   43.90191677 -251.66309806   -2.68810335  -85.33553131
    22.74183128 -589.35583565  588.29182076  474.56967805  261.87613724
   -19.35764157]]",0.5278015397775877,PhiID prediction,pre1,awake
45,"[[  -2.98405391  -70.52053103   56.68299837 -361.50188694   16.29154496
   -22.03459545   33.48007218  -18.05100173   -2.98405391  -70.52053103
    23.55223814 -509.71802518  331.52224207  299.06324265  139.82398217
   -22.19511095]]",0.5500427715996579,PhiID prediction,pre1,awake
46,"[[  -1.09219069  -91.54769348  261.01665626 -293.32306837 -146.23017743
   -26.44039851   41.22349363 -102.36080352   -1.09219069  -91.54769348
    27.76362993 -582.89666879  264.3355524   453.79876716  121.10796212
   -19.05138145]]",0.5320786997433704,PhiID prediction,pre1,awake
47,"[[  -5.1471084   -38.05878895  274.02710557 -393.66623257 -306.86141498
   -22.45259893   21.61847029  -57.58569724   -5.1471084   -38.05878895
    23.46189739 -431.02935589  365.3269418   453.77537237  -62.84831873
   -12.95632509]]",0.5457656116338752,PhiID prediction,pre1,awake
48,"[[  -4.61407205  -73.30371016   93.60760182 -587.49750132  -64.9067852
   -18.13299876   12.98540077  -97.92749974   -4.61407205  -73.30371016
    18.86060689 -391.82841611  562.837715    307.25386482   83.83249388
   -16.87932018]]",0.5363558597091531,PhiID prediction,pre1,awake
49,"[[  -4.57166359 -123.86136171  147.20394861 -408.68235773   13.57279293
   -13.57418709   33.57647209   39.11703002   -4.57166358 -123.86136171
    14.17820765 -503.90297574  382.52056177  225.21367037  148.55440632
   -16.33396778]]",0.542343883661249,PhiID prediction,pre1,awake
50,"[[  -1.91206513 -141.85074725 -158.52988413 -712.15142403  399.02128538
   -12.30062749   51.3774565   -47.73739793   -1.91206513 -141.85074725
    13.14644416 -412.63883272  682.52778724   78.23340844  296.51949793
   -20.29086336]]",0.5312232677502139,PhiID prediction,pre1,awake
51,"[[  -4.88538334  -93.7684673   496.57470456 -132.19158219 -430.42738307
   -23.42135788   -0.74247252 -106.69353318   -4.88538334  -93.7684673
    23.95673105 -583.66134338  120.43617171  575.77876452   30.68104262
   -11.54417738]]",0.5680068434559452,PhiID prediction,pre1,awake
52,"[[  -6.88122655  -86.12659245  399.00523171 -154.80107679 -367.9033921
   -14.43800617    1.35860104  -86.41379729   -6.88122654  -86.12659245
    15.71014518 -531.13998532  138.26618681  379.0835632   149.7229794
   -16.02924648]]",0.5414884516680923,PhiID prediction,pre1,awake
53,"[[  -2.96463147  -21.09089954  453.9354731    51.49240667 -493.1722344
   -20.37830179   32.74316158  -45.39349643   -2.96463147  -21.09089954
    20.7404066  -298.47060406  -66.96941252  334.74487524  -83.97642432
   -18.33363631]]",0.5329341317365269,PhiID prediction,pre1,awake
54,"[[  -7.91823239  -54.08283072  200.12367838 -206.97949008 -209.96487018
   -15.01070817   30.28905557 -136.95451341   -7.91823239  -54.08283072
    16.01532813 -318.42849531  179.8321286   364.10330526   -6.03117185
   -14.66412465]]",0.5380667236954663,PhiID prediction,pre1,awake
55,"[[  -2.93198349  -78.78197232  104.77344968 -616.89528519  -11.20796155
   -10.16050022   39.54397388  -89.9553562    -2.93198349  -78.78197232
    10.95633741 -402.52576939  607.41720843  389.29608462   18.24632318
   -12.20115768]]",0.562874251497006,PhiID prediction,pre1,awake
56,"[[  -3.27548695  -62.52424942  286.98468757 -653.56152079 -239.0218016
   -11.39829609   34.05769403 -291.27487834   -3.27548695  -62.52424942
    12.12794065 -464.08500527  628.78888617  382.29051198  282.76096372
   -16.81183724]]",0.5671514114627887,PhiID prediction,pre1,awake
57,"[[  -5.11953164  -11.05802546  100.74991489 -750.33935249 -175.04366875
   -22.10982535   24.80350598 -554.1115867    -5.11953163  -11.05802546
    23.58240308 -493.71510839  718.29326445  650.35461921  302.74846284
   -23.77606175]]",0.5295124037639007,PhiID prediction,pre1,awake
