,Weight vectors,Accuracy,Strategy,Time period,Drowsiness
17,"[[-4.14468475e+00  7.85732396e+02 -1.86488277e+03  1.31760490e+04
   1.00607351e+03 -2.56237967e+00 -2.32138806e+02  2.47062523e+01
  -4.14468475e+00  7.85732396e+02  2.73159810e+00 -1.24746226e+03
  -1.31769712e+04  1.03329115e+03 -9.61687086e+01 -4.51404710e+02]]",0.5372112917023096,PhiID prediction,pre1,awake
18,"[[-2.70359053e+00  7.90071938e+02 -1.39553537e+03  1.30083849e+04
   7.64204581e+02 -4.03433505e+00  2.82466704e+01  4.46734706e+02
  -2.70359053e+00  7.90071938e+02  4.09742074e+00 -1.32187233e+03
  -1.27569547e+04  8.19425454e+02 -2.67115461e+02 -5.38501619e+02]]",0.5260906757912746,PhiID prediction,pre1,awake
19,"[[-3.37881782e+00  6.58023846e+02 -1.22669765e+03  1.41207256e+04
   5.39880644e+02 -5.33428804e+00 -2.75125945e+02  2.03086082e+02
  -3.37881782e+00  6.58023846e+02  5.33302965e+00 -1.54345828e+03
  -1.38953148e+04  1.37108435e+03 -3.02234879e+02 -4.23782685e+02]]",0.5124037639007699,PhiID prediction,pre1,awake
20,"[[-7.59794506e+00  8.44016678e+02 -9.15891494e+02  1.24569791e+04
   3.73419140e+02 -3.31288781e+00  3.57945783e+01 -2.21762749e+02
  -7.59794506e+00  8.44016678e+02  3.59593645e+00 -1.40462359e+03
  -1.13505531e+04  5.78692373e+02  7.30970288e+02 -5.25927229e+02]]",0.5380667236954663,PhiID prediction,pre1,awake
21,"[[-6.54446806e+00  4.38843304e+02 -1.23032833e+03  9.60730836e+03
   1.19530723e+03 -2.65057333e+00 -2.50934124e+02 -4.76140255e+02
  -6.54446805e+00  4.38843304e+02  2.92210343e+00 -8.36088233e+02
  -8.20722413e+03  6.11263222e+02  3.76027262e+02 -6.35102887e+02]]",0.5449101796407185,PhiID prediction,pre1,awake
22,"[[-5.57867802e+00  6.96330322e+02 -3.97276348e+02  2.31745688e+04
  -1.16472141e+02 -2.19939692e+00 -1.02179343e+02 -7.17344261e+02
  -5.57867802e+00  6.96330322e+02  2.40427735e+00 -1.58076732e+03
  -2.20786104e+04  1.19366415e+03  8.02542157e+02 -6.78493240e+02]]",0.5312232677502139,PhiID prediction,pre1,awake
23,"[[-3.11264358e+00  3.43471682e+02  3.52135689e+01  9.06872105e+03
   4.85287326e-01 -3.07558867e+00 -2.63121977e+02 -5.40170422e+02
  -3.11264358e+00  3.43471682e+02  3.21772873e+00 -5.75902839e+02
  -8.19444538e+03  8.64969443e+02 -8.19551665e+01 -4.97883421e+02]]",0.553464499572284,PhiID prediction,pre1,awake
24,"[[-4.33213429e+00  7.91687527e+02 -1.92392531e+03  7.44775272e+03
   1.11519202e+03 -2.65024681e+00 -2.54889333e+02 -2.12899368e+02
  -4.33213429e+00  7.91687527e+02  2.87835976e+00 -1.03647403e+03
  -6.93752487e+03  6.90945069e+02  2.45802737e+02 -4.01016881e+02]]",0.5329341317365269,PhiID prediction,pre1,awake
25,"[[-2.93965477e+00  7.95683110e+02 -1.32211635e+03  1.76552944e+04
   2.06412823e+02 -2.28511196e+00 -4.44157839e+02 -4.03601608e+02
  -2.93965477e+00  7.95683110e+02  2.40528756e+00 -1.84084328e+03
  -1.67041551e+04  1.16250609e+03  7.83882677e+02 -5.46949894e+02]]",0.5380667236954663,PhiID prediction,pre1,awake
26,"[[-1.33898871e+00  4.84829445e+02 -1.13056933e+03  1.45878219e+04
   5.19447357e+02 -3.05544528e+00 -5.17141420e+02  1.37065031e+01
  -1.33898871e+00  4.84829445e+02  3.23106599e+00 -8.56135927e+02
  -1.42015306e+04  5.02584815e+02  3.31107845e+01 -5.10552549e+02]]",0.5474764756201882,PhiID prediction,pre1,awake
