metric,performance,drowsiness
0.180549442768097,throwaway,throwaway
0.0504168793559074,throwaway,throwaway
0.0594359040260315,throwaway,throwaway
0.0864455550909042,throwaway,throwaway
0.0281377770006657,throwaway,throwaway
0.0290528200566769,throwaway,throwaway
0.0791367366909981,miss,awake
0.0512135811150074,hit,light drowsy
0.0583609752357006,hit,awake
0.295960456132889,hit,awake
0.169523611664772,miss,awake
0.0793936029076576,miss,awake
0.034650657325983,hit,awake
0.150769129395485,miss,light drowsy
0.275209009647369,miss,awake
0.0828055441379547,miss,light drowsy
0.118742853403091,miss,awake
0.0211877468973398,miss,light drowsy
0.0976054891943932,miss,awake
0.173015803098679,hit,awake
0.0929472595453262,hit,awake
0.197953164577484,hit,awake
0.0485270358622074,miss,light drowsy
0.106347911059856,miss,awake
0.171953767538071,miss,light drowsy
0.0940152555704117,miss,light drowsy
0.0443525798618793,miss,heavy drowsy
0.0511727929115295,miss,light drowsy
0.0396132431924343,miss,awake
0.00736467586830258,miss,light drowsy
0.100085414946079,throwaway,throwaway
0.102474421262741,miss,light drowsy
0.157052412629128,throwaway,throwaway
0.00333377602510154,throwaway,throwaway
0.15458869934082,throwaway,throwaway
0.0680460333824158,throwaway,throwaway
0.0144818583503366,throwaway,throwaway
0.135702446103096,hit,heavy drowsy
0.0429430603981018,hit,light drowsy
0.193810626864433,miss,awake
0.106573089957237,hit,awake
0.0952067300677299,hit,awake
0.126693442463875,hit,awake
0.0735332295298576,miss,awake
0.0871875286102295,miss,awake
0.065511666238308,miss,awake
0.294960170984268,miss,awake
0.00347376009449363,hit,awake
0.100489728152752,miss,light drowsy
0.0310356337577105,hit,awake
0.0426081717014313,hit,awake
0.0925760716199875,miss,awake
0.0361653678119183,miss,awake
0.000439454248407856,hit,awake
0.152096062898636,hit,awake
0.0648611262440681,miss,awake
0.134884551167488,miss,awake
0.0214009713381529,miss,light drowsy
0.0973591133952141,miss,awake
0.127489864826202,miss,awake
0.0708929598331451,hit,awake
0.0155704980716109,hit,awake
0.124603770673275,miss,awake
0.128549441695213,miss,awake
0.0564554631710052,hit,awake
0.164503008127213,hit,awake
0.248147591948509,hit,awake
0.0449167676270008,miss,awake
0.180340379476547,miss,awake
0.167218789458275,hit,awake
0.0425418727099895,miss,awake
0.146335080265999,miss,awake
0.0274195466190577,throwaway,throwaway
0.0914012864232063,hit,awake
0.0588048361241817,hit,awake
0.0587776973843575,miss,awake
0.0453140661120415,miss,light drowsy
0.00474528642371297,miss,awake
0.065955363214016,miss,light drowsy
0.0589093565940857,miss,light drowsy
0.0387377105653286,miss,awake
0.0540695078670979,hit,awake
0.0670371279120445,miss,light drowsy
0.0622110366821289,hit,awake
0.0178073924034834,throwaway,throwaway
0.148556783795357,miss,awake
0.0748148038983345,throwaway,throwaway
0.196947306394577,hit,awake
0.1125692948699,hit,awake
0.0690867379307747,miss,awake
0.0462667196989059,miss,awake
0.163501545786858,miss,awake
0.0546868555247784,hit,awake
0.090099886059761,throwaway,throwaway
0.0753653347492218,miss,awake
0.0386831648647785,hit,awake
0.064361147582531,hit,awake
0.0158937703818083,miss,heavy drowsy
0.0349509157240391,hit,light drowsy
0.0365658923983574,miss,light drowsy
0.0886519402265549,miss,awake
0.0627128928899765,hit,awake
0.0992981493473053,hit,awake
0.0837327167391777,throwaway,throwaway
0.177339553833008,miss,awake
0.151652902364731,throwaway,throwaway
0.100461512804031,miss,awake
0.0952608287334442,throwaway,throwaway
0.166511371731758,miss,light drowsy
-0.00203693239018321,miss,awake
0.0243082903325558,hit,awake
0.0886792168021202,hit,awake
0.0361196398735046,miss,awake
0.101635813713074,hit,awake
0.12238023430109,miss,awake
0.118233434855938,miss,awake
0.0315421782433987,miss,awake
0.020509235560894,miss,awake
0.118330918252468,miss,awake
0.118467532098293,miss,awake
0.102737545967102,hit,awake
0.0397574715316296,miss,awake
0.0653795376420021,hit,awake
0.10065695643425,hit,awake
0.209390446543694,hit,awake
0.175964802503586,hit,awake
0.214217349886894,miss,awake
0.181925594806671,miss,awake
0.0347145013511181,hit,awake
0.0193050093948841,throwaway,throwaway
0.0105120344087481,miss,awake
0.073210708796978,miss,light drowsy
0.120532169938087,miss,awake
0.00894047971814871,miss,awake
0.0612462908029556,miss,awake
0.065050445497036,miss,awake
