,Accuracy,Strategy,Time period,Drowsiness
122,0.5517536355859709,PhiID prediction,pre1,awake
123,0.5363558597091531,PhiID prediction,pre1,awake
124,0.5312232677502139,PhiID prediction,pre1,awake
125,0.5337895637296834,PhiID prediction,pre1,awake
126,0.5346449957228401,PhiID prediction,pre1,awake
127,0.5337895637296834,PhiID prediction,pre1,awake
128,0.5363558597091531,PhiID prediction,pre1,awake
129,0.5329341317365269,PhiID prediction,pre1,awake
130,0.5585970915312233,PhiID prediction,pre1,awake
131,0.5115483319076134,PhiID prediction,pre1,awake
132,0.5483319076133447,PhiID prediction,pre1,awake
133,0.523524379811805,PhiID prediction,pre1,awake
134,0.5671514114627887,PhiID prediction,pre1,awake
135,0.5303678357570573,PhiID prediction,pre1,awake
136,0.5278015397775877,PhiID prediction,pre1,awake
137,0.5500427715996579,PhiID prediction,pre1,awake
138,0.5406330196749358,PhiID prediction,pre1,awake
139,0.5337895637296834,PhiID prediction,pre1,awake
140,0.5414884516680923,PhiID prediction,pre1,awake
141,0.5637296834901625,PhiID prediction,pre1,awake
142,0.5312232677502139,PhiID prediction,pre1,awake
143,0.5106928999144568,PhiID prediction,pre1,awake
144,0.5380667236954663,PhiID prediction,pre1,awake
145,0.523524379811805,PhiID prediction,pre1,awake
146,0.542343883661249,PhiID prediction,pre1,awake
147,0.5457656116338752,PhiID prediction,pre1,awake
148,0.5260906757912746,PhiID prediction,pre1,awake
149,0.5320786997433704,PhiID prediction,pre1,awake
150,0.5560307955517536,PhiID prediction,pre1,awake
151,0.5337895637296834,PhiID prediction,pre1,awake
152,0.5551753635585971,PhiID prediction,pre1,awake
153,0.5543199315654406,PhiID prediction,pre1,awake
154,0.5474764756201882,PhiID prediction,pre1,awake
155,0.5355004277159966,PhiID prediction,pre1,awake
156,0.5337895637296834,PhiID prediction,pre1,awake
157,0.5662959794696322,PhiID prediction,pre1,awake
158,0.5431993156544055,PhiID prediction,pre1,awake
159,0.5637296834901625,PhiID prediction,pre1,awake
160,0.5064157399486741,PhiID prediction,pre1,awake
161,0.5320786997433704,PhiID prediction,pre1,awake
162,0.5132591958939264,PhiID prediction,pre1,awake
163,0.5226689478186484,PhiID prediction,pre1,awake
164,0.5243798118049615,PhiID prediction,pre1,awake
165,0.544054747647562,PhiID prediction,pre1,awake
166,0.5218135158254918,PhiID prediction,pre1,awake
167,0.5568862275449101,PhiID prediction,pre1,awake
168,0.5389221556886228,PhiID prediction,pre1,awake
169,0.5303678357570573,PhiID prediction,pre1,awake
170,0.5457656116338752,PhiID prediction,pre1,awake
171,0.5543199315654406,PhiID prediction,pre1,awake
172,0.5500427715996579,PhiID prediction,pre1,awake
173,0.523524379811805,PhiID prediction,pre1,awake
174,0.5397775876817793,PhiID prediction,pre1,awake
175,0.5397775876817793,PhiID prediction,pre1,awake
176,0.5312232677502139,PhiID prediction,pre1,awake
177,0.5183917878528657,PhiID prediction,pre1,awake
178,0.5355004277159966,PhiID prediction,pre1,awake
179,0.553464499572284,PhiID prediction,pre1,awake
180,0.5209580838323353,PhiID prediction,pre1,awake
181,0.5389221556886228,PhiID prediction,pre1,awake
182,0.5431993156544055,PhiID prediction,pre1,awake
183,0.5303678357570573,PhiID prediction,pre1,awake
184,0.544054747647562,PhiID prediction,pre1,awake
185,0.5526090675791274,PhiID prediction,pre1,awake
186,0.544054747647562,PhiID prediction,pre1,awake
187,0.525235243798118,PhiID prediction,pre1,awake
188,0.5457656116338752,PhiID prediction,pre1,awake
189,0.5449101796407185,PhiID prediction,pre1,awake
190,0.5431993156544055,PhiID prediction,pre1,awake
191,0.5201026518391788,PhiID prediction,pre1,awake
192,0.5355004277159966,PhiID prediction,pre1,awake
193,0.5243798118049615,PhiID prediction,pre1,awake
194,0.5560307955517536,PhiID prediction,pre1,awake
195,0.5551753635585971,PhiID prediction,pre1,awake
196,0.5457656116338752,PhiID prediction,pre1,awake
197,0.5209580838323353,PhiID prediction,pre1,awake
198,0.5363558597091531,PhiID prediction,pre1,awake
199,0.5380667236954663,PhiID prediction,pre1,awake
200,0.5748502994011976,PhiID prediction,pre1,awake
201,0.5363558597091531,PhiID prediction,pre1,awake
202,0.5286569717707442,PhiID prediction,pre1,awake
203,0.5320786997433704,PhiID prediction,pre1,awake
204,0.5192472198460223,PhiID prediction,pre1,awake
205,0.5329341317365269,PhiID prediction,pre1,awake
206,0.5491873396065012,PhiID prediction,pre1,awake
207,0.5543199315654406,PhiID prediction,pre1,awake
208,0.5397775876817793,PhiID prediction,pre1,awake
209,0.5474764756201882,PhiID prediction,pre1,awake
210,0.5414884516680923,PhiID prediction,pre1,awake
211,0.5671514114627887,PhiID prediction,pre1,awake
212,0.5603079555175363,PhiID prediction,pre1,awake
213,0.5568862275449101,PhiID prediction,pre1,awake
214,0.5449101796407185,PhiID prediction,pre1,awake
215,0.5389221556886228,PhiID prediction,pre1,awake
216,0.5491873396065012,PhiID prediction,pre1,awake
217,0.5320786997433704,PhiID prediction,pre1,awake
218,0.5449101796407185,PhiID prediction,pre1,awake
219,0.5312232677502139,PhiID prediction,pre1,awake
220,0.5449101796407185,PhiID prediction,pre1,awake
221,0.5457656116338752,PhiID prediction,pre1,awake
222,0.5209580838323353,PhiID prediction,pre1,awake
