metric,performance,drowsiness
0.0104524455964565,miss,awake
-0.00758443959057331,miss,awake
-0.0376755334436893,hit,awake
-0.0900365933775902,hit,awake
0.0149981928989291,hit,awake
-0.0837182998657227,hit,awake
-0.0954960212111473,hit,awake
-0.0193648710846901,miss,awake
0.0104082906618714,hit,awake
-0.0523826479911804,hit,awake
-0.0725812390446663,miss,awake
0.0367700457572937,miss,awake
0.0540696606040001,hit,awake
0.0774471238255501,hit,awake
0.0493064261972904,miss,awake
0.044876616448164,miss,awake
-0.0561272017657757,hit,awake
0.00160419812891632,hit,awake
-0.0239762272685766,miss,awake
0.00910379085689783,miss,awake
-0.0414079576730728,hit,awake
-0.143213912844658,hit,awake
0.00772475823760033,miss,awake
-0.041105292737484,miss,awake
-0.101748086512089,miss,awake
-0.00124616653192788,miss,awake
-0.250959932804108,miss,awake
-0.0467280112206936,hit,awake
-0.0131909064948559,miss,awake
-0.0358454920351505,hit,awake
0.0064844898879528,miss,awake
-0.119298540055752,miss,awake
0.0214206613600254,miss,awake
0.0587615109980106,miss,awake
-0.0397001430392265,hit,awake
0.034112561494112,miss,awake
-0.0669369101524353,miss,awake
-0.0173991024494171,miss,awake
-0.0266496129333973,hit,awake
0.0206824447959661,hit,awake
0.00578365568071604,miss,awake
-0.0321923792362213,hit,light drowsy
-0.0126058431342244,miss,awake
0.0168151166290045,hit,awake
-0.0535798072814941,miss,awake
-0.117866739630699,hit,light drowsy
0.0345573984086514,hit,awake
-0.0705838203430176,miss,awake
0.0757430344820023,hit,awake
-0.0735000893473625,hit,awake
0.0508896335959435,miss,awake
-0.0502059012651443,miss,light drowsy
-0.0263810250908136,miss,awake
-0.125687777996063,hit,awake
-0.00953586585819721,hit,awake
-0.100847452878952,hit,awake
-0.00871490407735109,miss,awake
0.0251031182706356,hit,awake
0.0437968708574772,hit,awake
0.0108003569766879,miss,awake
0.000110491979285143,miss,awake
-0.0524186864495277,miss,awake
0.000299259001621976,miss,awake
-0.172920539975166,hit,awake
-0.0118024051189423,hit,awake
-0.0179084800183773,miss,awake
-0.020547391846776,hit,awake
-0.0437028333544731,hit,light drowsy
0.019391767680645,miss,awake
-0.0426174141466618,hit,awake
-0.0248566903173923,miss,awake
0.065679058432579,miss,awake
0.00233082752674818,hit,light drowsy
0.0771605595946312,miss,awake
-0.0131480228155851,miss,awake
0.019024258479476,miss,light drowsy
-0.0244150646030903,hit,light drowsy
0.00509643694385886,hit,awake
0.0104334969073534,hit,awake
-0.0421152450144291,miss,awake
-0.00625809421762824,miss,awake
0.0349969454109669,hit,light drowsy
-0.0271653458476067,miss,light drowsy
0.015820374712348,hit,awake
-0.000114115391625091,miss,awake
0.0301165785640478,miss,awake
-0.0144302314147353,miss,awake
0.162045493721962,miss,light drowsy
-0.0276792645454407,miss,awake
-0.0169030278921127,miss,awake
-0.0318311788141727,miss,light drowsy
0.00880673434585333,miss,awake
0.0364324450492859,hit,light drowsy
0.00429007085040212,miss,light drowsy
0.0709431171417236,hit,light drowsy
-0.0329430028796196,miss,light drowsy
-0.0385434217751026,miss,awake
0.00108729139901698,miss,light drowsy
-0.0730652809143066,miss,light drowsy
-0.0533433258533478,miss,awake
-0.0213260240852833,miss,light drowsy
-0.000844677037093788,hit,awake
0.0391930416226387,miss,awake
-0.142215847969055,miss,awake
0.0535817854106426,miss,awake
-0.0389835722744465,miss,awake
-0.0839880555868149,miss,awake
-0.0124963261187077,hit,awake
-0.00123328040353954,hit,light drowsy
0.0337980911135674,miss,light drowsy
-0.0241037737578154,hit,light drowsy
0.0808570235967636,miss,awake
-0.01473543420434,miss,light drowsy
-0.0776038616895676,throwaway,throwaway
0.00788792222738266,hit,heavy drowsy
0.0201734900474548,miss,light drowsy
-0.179293811321259,hit,awake
0.0421057231724262,hit,awake
0.0140360239893198,hit,awake
0.0832852646708488,hit,awake
0.0493477173149586,miss,awake
-0.0084564071148634,miss,awake
-0.0173969548195601,throwaway,throwaway
-0.0793145298957825,throwaway,throwaway
0.0212883893400431,throwaway,throwaway
-0.00500165158882737,miss,light drowsy
-0.00847903918474913,miss,awake
-0.0199161190539598,miss,awake
0.0519620440900326,hit,awake
-0.00583988334983587,throwaway,throwaway
0.0103463949635625,throwaway,throwaway
0.0337674394249916,miss,light drowsy
0.11045379191637,miss,light drowsy
-0.0339294783771038,miss,awake
-0.0121090328320861,throwaway,throwaway
-0.0231750085949898,throwaway,throwaway
-0.102680623531342,miss,light drowsy
-0.0134052010253072,throwaway,throwaway
-0.0246941074728966,throwaway,throwaway
-0.0770002156496048,throwaway,throwaway
0.0429977513849735,miss,light drowsy
-0.0475997850298882,throwaway,throwaway
-0.0336456149816513,throwaway,throwaway
-0.0107176378369331,miss,heavy drowsy
0.00395403476431966,hit,awake
-0.0296701341867447,miss,awake
0.114665538072586,hit,awake
-0.225223928689957,hit,awake
0.0101459296420217,hit,awake
-0.0409126505255699,hit,awake
0.16058948636055,miss,light drowsy
-0.00740452483296394,throwaway,throwaway
0.0575652793049812,hit,light drowsy
-0.00796433817595243,miss,light drowsy
-0.0513772778213024,throwaway,throwaway
-0.00910707656294107,hit,heavy drowsy
0.0104717733338475,miss,heavy drowsy
0.0858014151453972,miss,light drowsy
-0.0456911884248257,throwaway,throwaway
0.0610230192542076,throwaway,throwaway
-0.0131038939580321,throwaway,throwaway
0.011919941753149,throwaway,throwaway
0.0333285927772522,throwaway,throwaway
0.0226919427514076,throwaway,throwaway
-0.049767792224884,throwaway,throwaway
-0.0219670329242945,throwaway,throwaway
-0.0196483265608549,throwaway,throwaway
-0.0450494140386581,miss,light drowsy
-0.0476189181208611,throwaway,throwaway
-0.0104503501206636,throwaway,throwaway
-0.0512745939195156,throwaway,throwaway
0.0559623427689075,miss,heavy drowsy
0.0307986214756966,throwaway,throwaway
-0.0115347635000944,throwaway,throwaway
-0.0178979858756065,throwaway,throwaway
0.0155986910685897,miss,heavy drowsy
-0.0324294753372669,throwaway,throwaway
-0.0196456629782915,throwaway,throwaway
0.0791861042380333,throwaway,throwaway
-0.0315064564347267,throwaway,throwaway
-0.0287160407751799,throwaway,throwaway
-0.0296610966324806,throwaway,throwaway
-0.0481434129178524,throwaway,throwaway
0.0109160337597132,throwaway,throwaway
-0.101046152412891,throwaway,throwaway
0.0117562199011445,throwaway,throwaway
0.0472288094460964,throwaway,throwaway
-0.0969181731343269,throwaway,throwaway
-0.0650330111384392,throwaway,throwaway
-0.038145899772644,throwaway,throwaway
0.0160780772566795,throwaway,throwaway
-0.0104774823412299,throwaway,throwaway
0.01827641017735,throwaway,throwaway
0.0881028547883034,throwaway,throwaway
0.00950875040143728,throwaway,throwaway
-0.00148149824235588,throwaway,throwaway
-0.0390182174742222,throwaway,throwaway
0.108022131025791,throwaway,throwaway
-0.0198731329292059,throwaway,throwaway
-0.0508590862154961,throwaway,throwaway
0.00506139174103737,throwaway,throwaway
0.0106440000236034,throwaway,throwaway
-0.0575829669833183,miss,awake
-0.0359956622123718,hit,light drowsy
0.0178076326847076,hit,awake
-0.0430105291306973,hit,awake
-0.0628102719783783,miss,awake
-0.0555720366537571,miss,awake
-0.00645559141412377,hit,awake
-0.0187245346605778,miss,light drowsy
-0.0518108904361725,miss,awake
0.0415724404156208,miss,light drowsy
0.00536404782906175,miss,awake
0.0748756304383278,miss,light drowsy
0.0312533155083656,miss,awake
0.0409277155995369,hit,awake
-0.0369798727333546,hit,awake
-0.0152643388137221,hit,awake
0.0428290478885174,miss,light drowsy
0.0177666712552309,miss,awake
-0.0780657529830933,miss,light drowsy
0.00812558736652136,miss,light drowsy
0.0544354245066643,miss,heavy drowsy
0.0180690232664347,miss,light drowsy
-0.0029207649640739,miss,awake
0.099976047873497,miss,light drowsy
-0.0371264927089214,throwaway,throwaway
-0.0612591616809368,miss,light drowsy
-0.0280372034758329,throwaway,throwaway
0.145920470356941,throwaway,throwaway
-0.0945394858717918,throwaway,throwaway
-0.0446599312126637,throwaway,throwaway
0.00687277084216475,throwaway,throwaway
-0.10160169750452,hit,heavy drowsy
0.00353691983036697,hit,light drowsy
0.0269425567239523,miss,awake
-0.0221159197390079,hit,awake
-0.0630991235375404,hit,awake
0.00925303157418966,hit,awake
0.031996876001358,miss,awake
0.0489948429167271,miss,awake
